,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
338,1,栗山巧,15000,0.272,111.0,428.0,372.0,101.0,22.0,0.0,12.0,159.0,37.0,67.0,77.0,53.0,1.0,0.0,0.362,0.427,0.79,0.18,西武
339,2,岡田雅利,3000,0.107,29.0,65.0,56.0,6.0,1.0,0.0,0.0,7.0,1.0,3.0,7.0,1.0,1.0,0.0,0.138,0.125,0.263,0.108,西武
340,3,山川穂高,21000,0.205,102.0,401.0,322.0,66.0,7.0,0.0,24.0,145.0,47.0,73.0,100.0,64.0,13.0,0.0,0.357,0.45,0.807,0.249,西武
341,4,山野辺翔,1200,0.233,53.0,64.0,60.0,14.0,3.0,0.0,0.0,17.0,11.0,4.0,11.0,1.0,2.0,5.0,0.266,0.283,0.549,0.172,西武
342,5,外崎修汰,14000,0.247,120.0,500.0,433.0,107.0,18.0,2.0,8.0,153.0,62.0,43.0,87.0,54.0,4.0,21.0,0.335,0.353,0.688,0.174,西武
343,6,源田壮亮,14000,0.27,120.0,518.0,455.0,123.0,14.0,5.0,1.0,150.0,67.0,21.0,80.0,38.0,1.0,18.0,0.327,0.33,0.656,0.154,西武
344,7,金子侑司,12000,0.249,86.0,338.0,301.0,75.0,7.0,0.0,3.0,91.0,41.0,21.0,55.0,29.0,0.0,14.0,0.312,0.302,0.615,0.163,西武
345,9,木村文紀,4500,0.231,90.0,301.0,264.0,61.0,12.0,2.0,8.0,101.0,25.0,33.0,75.0,18.0,7.0,5.0,0.295,0.383,0.677,0.249,西武
346,10,森友哉,20000,0.251,104.0,405.0,358.0,90.0,15.0,2.0,9.0,136.0,46.0,38.0,67.0,38.0,3.0,4.0,0.325,0.38,0.705,0.165,西武
347,22,スパンジェンバーグ,8000,0.268,111.0,445.0,407.0,109.0,26.0,8.0,15.0,196.0,51.0,57.0,150.0,32.0,4.0,12.0,0.326,0.482,0.807,0.337,西武
348,31,佐藤龍世,840,,,,,,,,,,,,,,,,,,,,西武
349,32,永江恭平,990,,,,,,,,,,,,,,,,,,,,西武
350,37,柘植世那,1000,0.184,17.0,43.0,38.0,7.0,0.0,0.0,2.0,13.0,5.0,5.0,14.0,4.0,0.0,1.0,0.262,0.342,0.604,0.326,西武
351,38,牧野翔矢,600,,,,,,,,,,,,,,,,,,,,西武
352,39,呉念庭,560,0.227,51.0,52.0,44.0,10.0,3.0,0.0,0.0,13.0,5.0,5.0,8.0,4.0,2.0,2.0,0.32,0.295,0.615,0.154,西武
353,46,鈴木将平,660,0.207,46.0,157.0,140.0,29.0,4.0,2.0,1.0,40.0,7.0,10.0,24.0,10.0,1.0,0.0,0.261,0.286,0.547,0.153,西武
354,51,西川愛也,700,0.25,3.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,西武
355,52,山田遥楓,620,0.2,8.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,西武
356,53,愛斗,840,0.154,7.0,14.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.143,0.154,0.297,0.357,西武
357,56,川野涼多,650,,,,,,,,,,,,,,,,,,,,西武
358,58,熊代聖人,1200,0.1,38.0,11.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.182,0.1,0.282,0.273,西武
359,59,森越祐人,750,,,,,,,,,,,,,,,,,,,,西武
360,60,中村剛也,35000,0.213,79.0,297.0,258.0,55.0,14.0,0.0,9.0,96.0,32.0,31.0,75.0,34.0,3.0,0.0,0.31,0.372,0.682,0.253,西武
361,62,駒月仁人,600,,,,,,,,,,,,,,,,,,,,西武
362,63,綱島龍生,500,,,,,,,,,,,,,,,,,,,,西武
363,65,戸川大輔,630,0.111,4.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.222,0.0,西武
364,68,岸潤一郎,500,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.333,0.0,0.333,0.333,西武
365,72,川越誠司,640,0.156,48.0,74.0,64.0,10.0,0.0,1.0,2.0,18.0,10.0,5.0,24.0,9.0,0.0,0.0,0.26,0.281,0.542,0.324,西武
366,73,高木渉,520,0.175,12.0,40.0,40.0,7.0,1.0,1.0,2.0,16.0,6.0,5.0,8.0,0.0,0.0,0.0,0.175,0.4,0.575,0.2,西武
367,78,齊藤誠人,500,,,,,,,,,,,,,,,,,,,,西武
368,99,E.メヒア,10000,0.207,74.0,260.0,237.0,49.0,13.0,1.0,11.0,97.0,20.0,33.0,82.0,20.0,2.0,0.0,0.273,0.409,0.682,0.315,西武
369,127,中熊大智,400,,,,,,,,,,,,,,,,,,,,西武
370,0,小深田大翔,1500,0.288,112.0,437.0,378.0,109.0,16.0,5.0,3.0,144.0,61.0,31.0,59.0,42.0,4.0,17.0,0.364,0.381,0.745,0.135,楽天
371,2,太田光,1450,0.2,67.0,164.0,130.0,26.0,10.0,0.0,2.0,42.0,17.0,16.0,38.0,18.0,2.0,0.0,0.301,0.323,0.624,0.232,楽天
372,3,浅村栄斗,50000,0.28,120.0,529.0,432.0,121.0,25.0,0.0,32.0,242.0,72.0,104.0,111.0,91.0,4.0,1.0,0.408,0.56,0.969,0.21,楽天
373,4,オコエ瑠偉,1200,,,,,,,,,,,,,,,,,,,,楽天
374,5,茂木栄五郎,8100,0.301,73.0,321.0,276.0,83.0,14.0,4.0,7.0,126.0,43.0,33.0,52.0,39.0,5.0,8.0,0.396,0.457,0.852,0.162,楽天
375,6,藤田一也,3600,0.2,55.0,38.0,35.0,7.0,1.0,0.0,0.0,8.0,3.0,4.0,5.0,1.0,0.0,0.0,0.222,0.229,0.451,0.132,楽天
376,7,鈴木大地,10000,0.295,120.0,546.0,478.0,141.0,27.0,1.0,4.0,182.0,71.0,55.0,58.0,46.0,7.0,1.0,0.363,0.381,0.744,0.106,楽天
377,008,吉持亮汰,500,,,,,,,,,,,,,,,,,,,,楽天
